nr_Epoch,nr_Acc1,nr_Acc2,nr_Thresh1,nr_Thresh2,r_Epoch,r_Acc1,r_Acc2,r_Thresh1,r_Thresh2
1.0,1.0,0.0,6e-08,6e-08,1.0,0.0,1.0,1.2e-07,4e-08
2.0,1.0,0.0,6e-08,6e-08,2.0,0.0,1.0,1.7999999999999994e-07,2e-08
3.0,1.0,0.0,6e-08,6e-08,3.0,0.0,1.0,2.4e-07,2e-08
4.0,1.0,0.0,6e-08,6e-08,4.0,0.0,1.0,3e-07,2e-08
5.0,1.0,0.0,6e-08,6e-08,5.0,0.0,1.0,3.6e-07,2e-08
6.0,0.0,1.0,6e-08,6e-08,6.0,0.0,1.0,4.2e-07,2e-08
7.0,1.0,0.0,6e-08,6e-08,7.0,0.0,1.0,4.8e-07,2e-08
8.0,0.0,1.0,6e-08,6e-08,8.0,0.0,1.0,5.4e-07,2e-08
9.0,0.0,1.0,6e-08,6e-08,9.0,0.0,1.0,5.999999999999999e-07,2e-08
10.0,1.0,0.0,6e-08,6e-08,10.0,0.0,1.0,5.999999999999999e-07,2e-08
11.0,1.0,0.0,6e-08,6e-08,11.0,1.0,0.0,5.999999999999999e-07,2e-08
12.0,0.0,1.0,6e-08,6e-08,12.0,1.0,0.0,5.999999999999999e-07,2e-08
13.0,0.0,1.0,6e-08,6e-08,13.0,1.0,0.0,5.999999999999999e-07,2e-08
14.0,0.0,1.0,6e-08,6e-08,14.0,0.0,1.0,6.599999999999998e-07,2e-08
15.0,0.0,1.0,6e-08,6e-08,15.0,1.0,0.0,6.599999999999998e-07,2e-08
16.0,0.0,1.0,6e-08,6e-08,16.0,1.0,0.0,6.599999999999998e-07,2e-08
17.0,0.0,1.0,6e-08,6e-08,17.0,1.0,0.0,6.599999999999998e-07,2e-08
18.0,0.0,1.0,6e-08,6e-08,18.0,1.0,0.0,6.599999999999998e-07,2e-08
19.0,0.0,1.0,6e-08,6e-08,19.0,1.0,0.0,6.599999999999998e-07,2e-08
20.0,0.0,1.0,6e-08,6e-08,20.0,1.0,0.0,6.599999999999998e-07,2e-08
21.0,0.0,1.0,6e-08,6e-08,21.0,1.0,0.0,6.599999999999998e-07,2e-08
22.0,0.0,1.0,6e-08,6e-08,22.0,1.0,0.0,6.599999999999998e-07,2e-08
23.0,0.0,1.0,6e-08,6e-08,23.0,1.0,0.0,6.599999999999998e-07,2e-08
24.0,0.0,1.0,6e-08,6e-08,24.0,1.0,0.0,6.599999999999998e-07,2e-08
25.0,0.0,1.0,6e-08,6e-08,25.0,1.0,0.0,6.599999999999998e-07,2e-08
26.0,0.0,1.0,6e-08,6e-08,26.0,1.0,0.0,6.599999999999998e-07,2e-08
27.0,0.0,1.0,6e-08,6e-08,27.0,1.0,0.0,6.599999999999998e-07,2e-08
28.0,0.0,1.0,6e-08,6e-08,28.0,1.0,0.0,6.599999999999998e-07,2e-08
29.0,0.0,1.0,6e-08,6e-08,29.0,1.0,0.0,6.599999999999998e-07,2e-08
30.0,0.0,1.0,6e-08,6e-08,30.0,1.0,0.0,6.599999999999998e-07,2e-08
31.0,0.0,1.0,6e-08,6e-08,31.0,1.0,0.0,6.599999999999998e-07,2e-08
32.0,0.0,1.0,6e-08,6e-08,32.0,1.0,0.0,6.599999999999998e-07,2e-08
33.0,0.0,1.0,6e-08,6e-08,33.0,1.0,0.0,6.599999999999998e-07,2e-08
34.0,0.0,1.0,6e-08,6e-08,34.0,1.0,0.0,6.599999999999998e-07,2e-08
35.0,0.0,1.0,6e-08,6e-08,35.0,1.0,0.0,6.599999999999998e-07,2e-08
36.0,0.0,1.0,6e-08,6e-08,36.0,1.0,0.0,6.599999999999998e-07,2e-08
37.0,0.0,1.0,6e-08,6e-08,37.0,1.0,0.0,6.599999999999998e-07,2e-08
38.0,0.0,1.0,6e-08,6e-08,38.0,1.0,0.0,6.599999999999998e-07,2e-08
39.0,0.0,1.0,6e-08,6e-08,39.0,1.0,0.0,6.599999999999998e-07,2e-08
40.0,0.0,1.0,6e-08,6e-08,40.0,1.0,0.0,6.599999999999998e-07,2e-08
41.0,1.0,0.0,6e-08,6e-08,41.0,1.0,0.0,6.599999999999998e-07,2e-08
